,Unique ID ,Parent ID,Name,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
,88,77,Minivan ,Automotive Ownership,Pre-Owned Vehicles,Minivan ,,
,89,77,Off-Road Vehicles ,Automotive Ownership,Pre-Owned Vehicles,Off-Road Vehicles ,,
,90,77,Pickup Trucks ,Automotive Ownership,Pre-Owned Vehicles,Pickup Trucks ,,
,91,77,Budget Cars ,Automotive Ownership,Pre-Owned Vehicles,Budget Cars ,,
,92,77,Classic Cars ,Automotive Ownership,Pre-Owned Vehicles,Classic Cars ,,
,93,77,Concept Cars ,Automotive Ownership,Pre-Owned Vehicles,Concept Cars ,,
,94,77,Driverless Cars ,Automotive Ownership,Pre-Owned Vehicles,Driverless Cars ,,
,95,77,Green Vehicles ,Automotive Ownership,Pre-Owned Vehicles,Green Vehicles ,,
,96,77,Luxury Cars ,Automotive Ownership,Pre-Owned Vehicles,Luxury Cars ,,
,97,77,Performance Cars ,Automotive Ownership,Pre-Owned Vehicles,Performance Cars ,,
,98,77,Motorbikes ,Automotive Ownership,Pre-Owned Vehicles,Motorbikes ,,
,99,77,Other Vehicles ,Automotive Ownership,Pre-Owned Vehicles,Other Vehicles ,,
,100,,Automotive Products,Automotive Products,,,,
,101,100,Automotive Care Products,Automotive Products,Automotive Care Products,,,
,102,100,Automotive Parts and Accessories,Automotive Products,Automotive Parts and Accessories,,,
,103,102,Car Alarms,Automotive Products,Automotive Parts and Accessories,Car Alarms,,
,104,102,Car Amplifiers,Automotive Products,Automotive Parts and Accessories,Car Amplifiers,,
,105,102,Car Seats,Automotive Products,Automotive Parts and Accessories,Car Seats,,
,106,102,Car Speakers,Automotive Products,Automotive Parts and Accessories,Car Speakers,,
,107,102,Car Navigation Equipment,Automotive Products,Automotive Parts and Accessories,Car Navigation Equipment,,
,108,102,Automotive Tires,Automotive Products,Automotive Parts and Accessories,Automotive Tires,,
,109,,Automotive Services,Automotive Services,,,,
,110,109,Auto Rental,Automotive Services,Auto Rental,,,
,111,109,Auto Towing and Repair,Automotive Services,Auto Towing and Repair,,,
,112,109,Car Wash,Automotive Services,Car Wash,,,
,113,,Beauty Services,Beauty Services,,,,
,114,113,Beauty Salons and Tanning,Beauty Services,Beauty Salons and Tanning,,,
,115,113,Hair Salons,Beauty Services,Hair Salons,,,
,116,113,Nail Salons,Beauty Services,Nail Salons,,,
,117,113,Piercing and Tattooing,Beauty Services,Piercing and Tattooing,,,
,118,113,Spas,Beauty Services,Spas,,,
,119,,Business and Industrial,Business and Industrial,,,,
,120,119,Advertising and Marketing,Business and Industrial,Advertising and Marketing,,,
,121,119,Auctions,Business and Industrial,Auctions,,,
,122,119,Conferences/Events/Seminars,Business and Industrial,Conferences/Events/Seminars,,,
,123,119,Construction,Business and Industrial,Construction,,,
,124,119,Energy Industry,Business and Industrial,Energy Industry,,,
,125,124,Energy Services,Business and Industrial,Energy Industry,Energy Services,,
,126,124,"Oil, Gas and Consumable Fuels",Business and Industrial,Energy Industry,"Oil, Gas and Consumable Fuels",,
,127,124,Electric Power Industry,Business and Industrial,Energy Industry,Electric Power Industry,,
,128,119,Forestry and Logging,Business and Industrial,Forestry and Logging,,,
,129,119,Government,Business and Industrial,Government,,,
