New Taxonomy ID	OLD RTB ID	OLD SUBJECT (v1)	New subject (v2)			NOT MAPPED (deprecated)	
469	IAB15-8	Geography	Geography				
470	IAB15-4	Geology	Geology				
512	IAB17-15	Golf	Golf				
77	IAB3-7	Government	Government Business				
614	IAB19-16	Graphics Software	Graphics Software				
78	IAB3-8	Green Solutions	Green Solutions				
22	IAB2-10	Electric Vehicle	Green Vehicles				
22	IAB2-12	Hybrid	Green Vehicles				
11	IAB2-11	Hatchback	Hatchback				
221	IAB8-12	Health/Lowfat Cooking	Healthy Cooking and Eating				
223	IAB7-35	Pediatrics	Healthy Living				
223	IAB7-38	Senor Health	Healthy Living				
296	IAB7-24	Heart Disease	Heart and Cardiovascular Diseases				
411	IAB13-5	Hedge Fund	Hedge Funds				
234	IAB7-25	Herbs for Herbs	Herbs and Supplements				
460	IAB23-6	Hinduism	Hinduism				
239	IAB9	Hobbies & Interests	Hobbies & Interests				
235	IAB7-26	Holistic Healing	Holistic Health				
274	IAB10	Home & Garden	Home & Garden				
278	IAB10-1	Appliances	Home Appliances				
279	IAB10-2	Entertaining	Home Entertaining				
634	IAB19-17	Home Video/DVD	Home Entertainment Systems				
280	IAB10-5	Home Repair	Home Improvement				
145	IAB5-10	Homeschooling	Homeschooling				
146	IAB5-11	Homework/Study Tips	Homework and Study				
667	IAB20-17	Honeymoons/Getaways	Honeymoons and Getaways				
497	IAB17-16	Horse racing	Horse Racing				
668	IAB20-18	Hotels	Hotels and Motels				
55	IAB3-9	Human Resources	Human Resources				
440	IAB1-4	Humor	Humor and Satire				
514	IAB17-18	Hunting/Shooting	Hunting and Shooting				
515	IAB17-27	Pro ice hockey	Ice Hockey				
282	IAB10-3	Environmental Safety	Indoor Environmental Quality				
618	IAB19-25	Network security	Information and Network Security				
516	IAB17-19	Inline Skating	Inline Skating				
398	IAB13-6	Insurance	Insurance				
283	IAB10-7	Interior Decorating	Interior Decorating				
382	IAB12-1	International News	International News				
624	IAB19-24	Net for Beginners	Internet for Beginners				
195	IAB6-4	Family Internet	Internet Safety				
461	IAB23-7	Islam	Islam				
252	IAB9-19	Jewelry Making	Jewelry Making				
128	IAB4-4	Job Fairs	Job Fairs				
127	IAB4-5	Job Search	Job Search				
462	IAB23-8	Judaism	Judaism				
284	IAB10-8	Landscaping	Landscaping				
147	IAB5-8	Language Learning	Language Learning				
427	IAB16-5	Large Animals	Large Animals				
383	IAB11-2	Legal Issues	Law				
384	IAB12-3	Local News	Local News				
57	IAB3-10	Logistics	Logistics				
23	IAB2-13	Luxury	Luxury Cars				
241	IAB9-20	Magic & Illusion	Magic and Illusion				
58	IAB3-1	Advertising	Marketing and Advertising				
58	IAB3-11	Marketing	Marketing and Advertising				
191	IAB14-4	Marriage	Marriage and Civil Unions				
520	IAB17-20	Martial Arts	Martial Arts				
228	IAB7-31	Men's health	Men's Health				
301	IAB7-37	Psychology/Psychiatry	Mental Health				
107	IAB3-12	Metals	Metals Industry				
13	IAB2-14	MiniVan	Minivan				
519	IAB17-25	Power & Motorcycles	Motorcycle Sports				
27	IAB2-15	Mororcycles	Motorcycles				
324	IAB1-5	Movies	Movies				
338	IAB1-6	Music	Music and Audio				
243	IAB9-16	Guitar	Musical Instruments				
412	IAB13-8	Mutual Funds	Mutual Funds				
385	IAB12-2	National News	National News				
253	IAB9-21	Needlework	Needlework				
222	IAB8-6	Coffee/Tea	Non-Alcoholic Beverages				
229	IAB7-32	Nutrition	Nutrition				
14	IAB2-16	Off-Road Vehicles	Off-Road Vehicles				
521	IAB17-23	Olympics	Olympic Sports				
413	IAB13-9	Options	Options				
501	IAB17-24	Paintball	Paintball				
254	IAB9-22	Painting	Painting				
244	IAB15-5	Paranormal Phenomena	Paranormal Phenomena				
196	IAB6-2	Babies & Toddlers	Parenting Babies and Toddlers				
197	IAB6-5	Parenting - K-6 Kids	Parenting Children Aged 4-11				
198	IAB6-6	Parenting Teens	Parenting Teens				
24	IAB2-17	Performance Vehicles	Performance Cars				
405	IAB13-2	Credit/Debt & Loans	Personal Debt				
391	IAB13	Personal Finance	Personal Finance				
410	IAB13-7	Investing	Personal Investing				
415	IAB13-12	Tax planning	Personal Taxes				
422	IAB16	Pets	Pets				
255	IAB9-23	Photography	Photography				
236	IAB7-36	Physical Therapy	Physical Therapy				
471	IAB15-6	Physics	Physics				
15	IAB2-18	Pickup	Pickup Trucks				
386	IAB11-4	Politics	Politics				
432	IAB1-2	Celebrity Fan/Gossip	Pop Culture				
139	IAB5-9	Graduate School	Postgraduate Education				
305	IAB6-7	Pregnancy	Pregnancy				
149	IAB5-12	K-6 Educators	Primary Education				
134	IAB5-13	Private School	Private School				
631	IAB19-4	C/C++	Programming Languages				
631	IAB19-19	Java	Programming Languages				
631	IAB19-20	JavaScript	Programming Languages				
631	IAB19-32	Visual Basic	Programming Languages				
245	IAB9-24	Radio	Radio Control				
441	IAB21	Real Estate	Real Estate				
451	IAB21-3	Buying/Selling Homes	Real Estate Buying and Selling				
453	IAB23	Religion & Spirituality	Religion & Spirituality				
276	IAB10-9	Remodeling & Construction	Remodeling & Construction				
130	IAB4-9	Telecommuting	Remote Working				
429	IAB16-6	Reptiles	Reptiles				
129	IAB4-6	Resume Writing/Advice	Resume Writing and Advice				
416	IAB13-10	Retirement planning	Retirement Planning				
28	IAB2-19	Road-Side Assistance	Road-Side Assistance				
525	IAB17-28	Rodeo	Rodeo				
272	IAB9-25	Roleplaying Games	Roleplaying Games				
527	IAB17-29	Rugby	Rugby				
227	IAB17-30	Running/Jogging	Running and Jogging				
530	IAB17-31	Sailing	Sailing				
481	IAB22-1	Contests & freebies	Sales and Promotions				
464	IAB15	Science	Science				
246	IAB9-26	Sci-Fi/Fantasy	Sci-fi and Fantasy				
256	IAB9-27	Scrapbooking	Scrapbooking				
267	IAB9-28	Screenwriting	Screenwriting				
502	IAB17-33	Scuba Diving	Scuba Diving				
627	IAB19-35	Web Search	Search				
