Content 1.0 Unique ID	Content 1.0 IAB Category	Content 1.0 Tier	Content 2.0 Unique ID	Content 2.0 Parent	Content 2.0 Category	Content 2.0 Tier 1	Content 2.0 Tier 2	Content 2.0 Tier 3	Content 2.0 Tier 4	Imperfect Mapping
IAB17-34	Skateboarding	Tier 2	503	498	Skateboarding	Sports	Extreme Sports	Skateboarding		
IAB17-35	Skiing	Tier 2	531	483	Skiing	Sports	Skiing			
IAB17-36	Snowboarding	Tier 2	504	498	Snowboarding	Sports	Extreme Sports	Snowboarding		
IAB17-37	Surfing/Bodyboarding	Tier 2	505	498	Surfing and Bodyboarding	Sports	Extreme Sports	Surfing and Bodyboarding		
IAB17-38	Swimming	Tier 2	537	483	Swimming	Sports	Swimming			
IAB17-39	Table Tennis/Ping-Pong	Tier 2	538	483	Table Tennis	Sports	Table Tennis			
IAB17-40	Tennis	Tier 2	539	483	Tennis	Sports	Tennis			
IAB17-41	Volleyball	Tier 2	541	483	Volleyball	Sports	Volleyball			
IAB17-42	Walking	Tier 2	542	483	Walking	Sports	Walking			
IAB17-43	Waterski/Wakeboard	Tier 2	506	498	Waterskiing and Wakeboarding	Sports	Extreme Sports	Waterskiing and Wakeboarding		
IAB17-44	World Soccer	Tier 2	533	483	Soccer	Sports	Soccer			
IAB18	Style & Fashion	Tier 1	552		Style & Fashion	Style & Fashion				
IAB18-1	Beauty	Tier 2	553	552	Beauty	Style & Fashion	Beauty			
IAB18-2	Body Art	Tier 2	574	552	Body Art	Style & Fashion	Body Art			
IAB18-3	Fashion	Tier 2	552		Style & Fashion	Style & Fashion				
IAB18-4	Jewelry	Tier 2	565	561	Women's Jewelry and Watches	Style & Fashion	Women's Fashion	Women's Accessories	Women's Jewelry and Watches	No Semantic Equivilency
IAB18-5	Clothing	Tier 2	552		Style & Fashion	Style & Fashion				
IAB18-6	Accessories	Tier 2	561	560	Women's Accessories	Style & Fashion	Women's Fashion	Women's Accessories		
IAB19	Technology & Computing	Tier 1	596		Technology & Computing	Technology & Computing				
IAB19-1	3-D Graphics	Tier 2	603	602	3-D Graphics	Technology & Computing	Computing	Computer Software and Applications	3-D Graphics	
IAB19-2	Animation	Tier 2	610	602	Computer Animation	Technology & Computing	Computing	Computer Software and Applications	Computer Animation	
IAB19-3	Antivirus Software	Tier 2	608	602	Antivirus Software	Technology & Computing	Computing	Computer Software and Applications	Antivirus Software	
IAB19-4	C/C++	Tier 2	631	599	Programming Languages	Technology & Computing	Computing	Programming Languages		
IAB19-5	Cameras & Camcorders	Tier 2	633	632	Cameras and Camcorders	Technology & Computing	Consumer Electronics	Cameras and Camcorders		
IAB19-6	Cell Phones	Tier 2	635	632	Smartphones	Technology & Computing	Consumer Electronics	Smartphones		
IAB19-7	Computer Certification	Tier 2	599		Computing	Technology & Computing	Computing			
IAB19-8	Computer Networking	Tier 2	600	599	Computer Networking	Technology & Computing	Computing	Computer Networking		
IAB19-9	Computer Peripherals	Tier 2	601	599	Computer Peripherals	Technology & Computing	Computing	Computer Peripherals		
IAB19-10	Computer Reviews	Tier 2	599		Computing	Technology & Computing	Computing			
IAB19-11	Data Centers	Tier 2	616	599	Data Storage and Warehousing	Technology & Computing	Computing	Data Storage and Warehousing		
IAB19-12	Databases	Tier 2	611	602	Databases	Technology & Computing	Computing	Computer Software and Applications	Databases	
IAB19-13	Desktop Publishing	Tier 2	612	602	Desktop Publishing	Technology & Computing	Computing	Computer Software and Applications	Desktop Publishing	
IAB19-14	Desktop Video	Tier 2	606	602	Video Software	Technology & Computing	Computing	Computer Software and Applications	Video Software	
IAB19-15	Email	Tier 2	623	619	Email	Technology & Computing	Computing	Internet	Email	
IAB19-16	Graphics Software	Tier 2	614	602	Graphics Software	Technology & Computing	Computing	Computer Software and Applications	Graphics Software	
IAB19-17	Home Video/DVD	Tier 2	634	632	Home Entertainment Systems	Technology & Computing	Consumer Electronics	Home Entertainment Systems		
IAB19-18	Internet Technology	Tier 2	619	599	Internet	Technology & Computing	Computing	Internet		
IAB19-19	Java	Tier 2	631	599	Programming Languages	Technology & Computing	Computing	Programming Languages		
IAB19-20	JavaScript	Tier 2	631	599	Programming Languages	Technology & Computing	Computing	Programming Languages		
IAB19-21	Mac Support	Tier 2	599		Computing	Technology & Computing	Computing			
IAB19-22	MP3/MIDI	Tier 2	613	602	Digital Audio	Technology & Computing	Computing	Computer Software and Applications	Digital Audio	
IAB19-23	Net Conferencing	Tier 2	607	602	Web Conferencing	Technology & Computing	Computing	Computer Software and Applications	Web Conferencing	
IAB19-24	Net for Beginners	Tier 2	624	619	Internet for Beginners	Technology & Computing	Computing	Internet	Internet for Beginners	
IAB19-25	Network Security	Tier 2	618	599	Information and Network Security	Technology & Computing	Computing	Information and Network Security		
IAB19-26	Palmtops/PDAs	Tier 2	636	632	Tablets and E-readers	Technology & Computing	Consumer Electronics	Tablets and E-readers		
IAB19-27	PC Support	Tier 2	599		Computing	Technology & Computing	Computing			
IAB19-28	Portable	Tier 2	630	599	Laptops	Technology & Computing	Computing	Laptops		
IAB19-29	Entertainment	Tier 2	634	632	Home Entertainment Systems	Technology & Computing	Consumer Electronics	Home Entertainment Systems		
IAB19-30	Shareware/Freeware	Tier 2	605	602	Shareware and Freeware	Technology & Computing	Computing	Computer Software and Applications	Shareware and Freeware	
IAB19-31	Unix	Tier 2	615	602	Operating Systems	Technology & Computing	Computing	Computer Software and Applications	Operating Systems	
IAB19-32	Visual Basic	Tier 2	631	599	Programming Languages	Technology & Computing	Computing	Programming Languages		
IAB19-33	Web Clip Art	Tier 2	629	619	Web Design and HTML	Technology & Computing	Computing	Internet	Web Design and HTML	
IAB19-34	Web Design/HTML	Tier 2	629	619	Web Design and HTML	Technology & Computing	Computing	Internet	Web Design and HTML	
IAB19-35	Web Search	Tier 2	627	619	Search	Technology & Computing	Computing	Internet	Search	
IAB19-36	Windows	Tier 2	615	602	Operating Systems	Technology & Computing	Computing	Computer Software and Applications	Operating Systems	
IAB20	Travel	Tier 1	653		Travel	Travel				
IAB20-1	Adventure Travel	Tier 2	665	664	Adventure Travel	Travel	Travel Type	Adventure Travel		
IAB20-2	Africa	Tier 2	656	655	Africa Travel	Travel	Travel Locations	Africa Travel		
IAB20-3	Air Travel	Tier 2	672	664	Air Travel	Travel	Travel Type	Air Travel		
IAB20-4	Australia & New Zealand	Tier 2	658	655	Australia and Oceania Travel	Travel	Travel Locations	Australia and Oceania Travel		
IAB20-5	Bed & Breakfasts	Tier 2	674	664	Bed & Breakfasts	Travel	Travel Type	Bed & Breakfasts		
IAB20-6	Budget Travel	Tier 2	675	664	Budget Travel	Travel	Travel Type	Budget Travel		
IAB20-7	Business Travel	Tier 2	676	664	Business Travel	Travel	Travel Type	Business Travel		
IAB20-8	By US Locale	Tier 2	660	655	North America Travel	Travel	Travel Locations	North America Travel		
IAB20-9	Camping	Tier 2	677	664	Camping	Travel	Travel Type	Camping		
IAB20-10	Canada	Tier 2	660	655	North America Travel	Travel	Travel Locations	North America Travel		
IAB20-11	Caribbean	Tier 2	660	655	North America Travel	Travel	Travel Locations	North America Travel		
IAB20-12	Cruises	Tier 2	678	664	Cruises	Travel	Travel Type	Cruises		
IAB20-13	Eastern Europe	Tier 2	659	655	Europe Travel	Travel	Travel Locations	Europe Travel		
IAB20-14	Europe	Tier 2	659	655	Europe Travel	Travel	Travel Locations	Europe Travel		
IAB20-15	France	Tier 2	659	655	Europe Travel	Travel	Travel Locations	Europe Travel		
IAB20-16	Greece	Tier 2	659	655	Europe Travel	Travel	Travel Locations	Europe Travel		
IAB20-17	Honeymoons/Getaways	Tier 2	667	664	Honeymoons and Getaways	Travel	Travel Type	Honeymoons and Getaways		
IAB20-18	Hotels	Tier 2	668	664	Hotels and Motels	Travel	Travel Type	Hotels and Motels		
IAB20-19	Italy	Tier 2	659	655	Europe Travel	Travel	Travel Locations	Europe Travel		
IAB20-20	Japan	Tier 2	657	655	Asia Travel	Travel	Travel Locations	Asia Travel		
IAB20-21	Mexico & Central America	Tier 2	660	655	North America Travel	Travel	Travel Locations	North America Travel		
IAB20-22	National Parks	Tier 2	660	655	North America Travel	Travel	Travel Locations	North America Travel		
IAB20-23	South America	Tier 2	662	655	South America Travel	Travel	Travel Locations	South America Travel		
IAB20-24	Spas	Tier 2	671	664	Spas	Travel	Travel Type	Spas		
IAB20-25	Theme Parks	Tier 2	151	150	Amusement and Theme Parks	Events and Attractions	Amusement and Theme Parks			
IAB20-26	Traveling with Kids	Tier 2	666	664	Family Travel	Travel	Travel Type	Family Travel		
IAB20-27	United Kingdom	Tier 2	659	655	Europe Travel	Travel	Travel Locations	Europe Travel		
IAB21	Real Estate	Tier 1	441		Real Estate	Real Estate				
IAB21-1	Apartments	Tier 2	442	441	Apartments	Real Estate	Apartments			
IAB21-2	Architects	Tier 2	441		Real Estate	Real Estate				
IAB21-3	Buying/Selling Homes	Tier 2	451	441	Real Estate Buying and Selling	Real Estate	Real Estate Buying and Selling			
IAB22	Shopping	Tier 1	473		Shopping	Shopping				One to Many
IAB22-1	Contests & Freebies	Tier 2	474	473	Coupons and Discounts	Shopping	Coupons and Discounts			
IAB22-2	Couponing	Tier 2	474	473	Coupons and Discounts	Shopping	Coupons and Discounts			
IAB22-3	Comparison	Tier 2	473		Shopping	Shopping				One to Many
IAB22-4	Engines	Tier 2	473		Shopping	Shopping				One to Many
IAB23	Religion & Spirituality	Tier 1	453		Religion & Spirituality	Religion & Spirituality				
IAB23-1	Alternative Religions	Tier 2	453		Religion & Spirituality	Religion & Spirituality				
IAB23-2	Atheism/Agnosticism	Tier 2	457	453	Atheism	Religion & Spirituality	Atheism			
IAB23-3	Buddhism	Tier 2	458	453	Buddhism	Religion & Spirituality	Buddhism			
IAB23-4	Catholicism	Tier 2	459	453	Christianity	Religion & Spirituality	Christianity			
IAB23-5	Christianity	Tier 2	459	453	Christianity	Religion & Spirituality	Christianity			
IAB23-6	Hinduism	Tier 2	460	453	Hinduism	Religion & Spirituality	Hinduism			
IAB23-7	Islam	Tier 2	461	453	Islam	Religion & Spirituality	Islam			
IAB23-8	Judaism	Tier 2	462	453	Judaism	Religion & Spirituality	Judaism			
IAB23-9	Latter-Day Saints	Tier 2	459	453	Christianity	Religion & Spirituality	Christianity			
IAB23-10	Pagan/Wiccan	Tier 2	453		Religion & Spirituality	Religion & Spirituality				
IAB24	Uncategorized	Tier 1								
IAB25	Non-Standard Content	Tier 1								Uncategorized
IAB25-1	Unmoderated UGC	Tier 2								Uncategorized
IAB25-2	Extreme Graphic/Explicit Violence	Tier 2								Uncategorized
IAB25-3	Pornography	Tier 2								Uncategorized
IAB25-4	Profane Content	Tier 2								Uncategorized
IAB25-5	Hate Content	Tier 2								Uncategorized
IAB25-6	Under Construction	Tier 2								Uncategorized
IAB25-7	Incentivized	Tier 2								Uncategorized
IAB26	Illegal Content	Tier 1								Uncategorized
IAB26-1	Illegal Content	Tier 2								Uncategorized
IAB26-2	Warez	Tier 2								Uncategorized
IAB26-3	Spyware/Malware	Tier 2								Uncategorized
IAB26-4	Copyright Infringement	Tier 2								Uncategorized
