Content 1.0 Unique ID	Content 1.0 IAB Category	Content 1.0 Tier	Content 2.0 Unique ID	Content 2.0 Parent	Content 2.0 Category	Content 2.0 Tier 1	Content 2.0 Tier 2	Content 2.0 Tier 3	Content 2.0 Tier 4	Imperfect Mapping
IAB5-12	K-6 Educators	Tier 2	149	132	Primary Education	Education	Primary Education			
IAB5-13	Private School	Tier 2	134	132	Private School	Education	Private School			
IAB5-14	Special Education	Tier 2	136	132	Special Education	Education	Special Education			
IAB5-15	Studying Business	Tier 2	137	132	College Education	Education	College Education			
IAB6	Family & Parenting	Tier 1	186		Family and Relationships	Family and Relationships				
IAB6-1	Adoption	Tier 2	193	192	Adoption and Fostering	Family and Relationships	Parenting	Adoption and Fostering		
IAB6-2	Babies & Toddlers	Tier 2	196	192	Parenting Babies and Toddlers	Family and Relationships	Parenting	Parenting Babies and Toddlers		
IAB6-3	Daycare/Pre School	Tier 2	194	192	Daycare and Pre-School	Family and Relationships	Parenting	Daycare and Pre-School		
IAB6-4	Family Internet	Tier 2	195	192	Internet Safety	Family and Relationships	Parenting	Internet Safety		
IAB6-5	Parenting - K-6 Kids	Tier 2	197	192	Parenting Children Aged 4-11	Family and Relationships	Parenting	Parenting Children Aged 4-11		
IAB6-6	Parenting teens	Tier 2	198	192	Parenting Teens	Family and Relationships	Parenting	Parenting Teens		
IAB6-7	Pregnancy	Tier 2	305	302	Pregnancy	Medical Health	Diseases and Conditions	Reproductive Health	Pregnancy	
IAB6-8	Special Needs Kids	Tier 2	199	192	Special Needs Kids	Family and Relationships	Parenting	Special Needs Kids		
IAB6-9	Eldercare	Tier 2	190	186	Eldercare	Family and Relationships	Eldercare			
AB7	Health & Fitness	Tier 1	223		Healthy Living	Healthy Living				
IAB7-1	Exercise	Tier 2	225	223	Fitness and Exercise	Healthy Living	Fitness and Exercise			
IAB7-2	A.D.D.	Tier 2	313	287	Brain and Nervous System Disorders	Medical Health	Diseases and Conditions	Brain and Nervous System Disorders		
IAB7-3	AIDS/HIV	Tier 2	297	287	Infectious Diseases	Medical Health	Diseases and Conditions	Infectious Diseases		
IAB7-4	Allergies	Tier 2	288	287	Allergies	Medical Health	Diseases and Conditions	Allergies		
IAB7-5	Alternative Medicine	Tier 2	233	232	Alternative Medicine	Healthy Living	Wellness	Alternative Medicine		
IAB7-6	Arthritis	Tier 2	312	287	Bone and Joint Conditions	Medical Health	Diseases and Conditions	Bone and Joint Conditions		
IAB7-7	Asthma	Tier 2	300	287	Lung and Respiratory Health	Medical Health	Diseases and Conditions	Lung and Respiratory Health		
IAB7-8	Autism/PDD	Tier 2	313	287	Brain and Nervous System Disorders	Medical Health	Diseases and Conditions	Brain and Nervous System Disorders		
IAB7-9	Bipolar Disorder	Tier 2	301	287	Mental Health	Medical Health	Diseases and Conditions	Mental Health		
IAB7-10	Brain Tumor	Tier 2	313	287	Brain and Nervous System Disorders	Medical Health	Diseases and Conditions	Brain and Nervous System Disorders		
IAB7-11	Cancer	Tier 2	314	287	Cancer	Medical Health	Diseases and Conditions	Cancer		
IAB7-12	Cholesterol	Tier 2	296	287	Heart and Cardiovascular Diseases	Medical Health	Diseases and Conditions	Heart and Cardiovascular Diseases		
IAB7-13	Chronic Fatigue Syndrome	Tier 2	287		Diseases and Conditions	Medical Health	Diseases and Conditions			
IAB7-14	Chronic Pain	Tier 2	287		Diseases and Conditions	Medical Health	Diseases and Conditions			
IAB7-15	Cold & Flu	Tier 2	315	287	Cold and Flu	Medical Health	Diseases and Conditions	Cold and Flu		
IAB7-16	Deafness	Tier 2	289	287	Ear, Nose and Throat Conditions	Medical Health	Diseases and Conditions	Ear, Nose and Throat Conditions		
IAB7-17	Dental Care	Tier 2	316	287	Dental Health	Medical Health	Diseases and Conditions	Dental Health		
IAB7-18	Depression	Tier 2	301	287	Mental Health	Medical Health	Diseases and Conditions	Mental Health		
IAB7-19	Dermatology	Tier 2	309	287	Skin and Dermatology	Medical Health	Diseases and Conditions	Skin and Dermatology		
IAB7-20	Diabetes	Tier 2	317	287	Diabetes	Medical Health	Diseases and Conditions	Diabetes		
IAB7-21	Epilepsy	Tier 2	313	287	Brain and Nervous System Disorders	Medical Health	Diseases and Conditions	Brain and Nervous System Disorders		
IAB7-22	GERD/Acid Reflux	Tier 2	318	287	Digestive Disorders	Medical Health	Diseases and Conditions	Digestive Disorders		
IAB7-23	Headaches/Migraines	Tier 2	313	287	Brain and Nervous System Disorders	Medical Health	Diseases and Conditions	Brain and Nervous System Disorders		
IAB7-24	Heart Disease	Tier 2	296	287	Heart and Cardiovascular Diseases	Medical Health	Diseases and Conditions	Heart and Cardiovascular Diseases		
IAB7-25	Herbs for Health	Tier 2	234	233	Herbs and Supplements	Healthy Living	Wellness	Alternative Medicine	Herbs and Supplements	
IAB7-26	Holistic Healing	Tier 2	235	233	Holistic Health	Healthy Living	Wellness	Alternative Medicine	Holistic Health	
IAB7-27	IBS/Crohn's Disease	Tier 2	318	287	Digestive Disorders	Medical Health	Diseases and Conditions	Digestive Disorders		
IAB7-28	Incest/Abuse Support	Tier 2	301	287	Mental Health	Medical Health	Diseases and Conditions	Mental Health		
IAB7-29	Incontinence	Tier 2	287		Diseases and Conditions	Medical Health	Diseases and Conditions			
IAB7-30	Infertility	Tier 2	304	302	Infertility	Medical Health	Diseases and Conditions	Reproductive Health	Infertility	
IAB7-31	Men's Health	Tier 2	228	223	Men's Health	Healthy Living	Men's Health			
IAB7-32	Nutrition	Tier 2	229	223	Nutrition	Healthy Living	Nutrition			
IAB7-33	Orthopedics	Tier 2	312	287	Bone and Joint Conditions	Medical Health	Diseases and Conditions	Bone and Joint Conditions		
IAB7-34	Panic/Anxiety Disorders	Tier 2	301	287	Mental Health	Medical Health	Diseases and Conditions	Mental Health		
IAB7-35	Pediatrics	Tier 2	224	223	Children's Health	Healthy Living	Children's Health			
IAB7-36	Physical Therapy	Tier 2	236	232	Physical Therapy	Healthy Living	Wellness	Physical Therapy		
IAB7-37	Psychology/Psychiatry	Tier 2	301	287	Mental Health	Medical Health	Diseases and Conditions	Mental Health		
IAB7-38	Senor Health	Tier 2	230	223	Senior Health	Healthy Living	Senior Health			
IAB7-39	Sexuality	Tier 2	307	287	Sexual Health	Medical Health	Diseases and Conditions	Sexual Health		
IAB7-40	Sleep Disorders	Tier 2	310	287	Sleep Disorders	Medical Health	Diseases and Conditions	Sleep Disorders		
IAB7-41	Smoking Cessation	Tier 2	237	232	Smoking Cessation	Healthy Living	Wellness	Smoking Cessation		
