Ad Product 2.0 --> Content 1.0								
Ad Product 2.0					Content 1.0			
Name	Unique ID	Tier 1	Tier 2	Tier 3	Name	Content 1.0 ID	Tier 1	Tier 2
Shaving	1240	Consumer Packaged Goods	Shaving		Beauty	IAB18-1	Style & Fashion	Beauty
Blades	1241	Consumer Packaged Goods	Shaving	Blades	Beauty	IAB18-1	Style & Fashion	Beauty
Razors	1242	Consumer Packaged Goods	Shaving	Razors	Beauty	IAB18-1	Style & Fashion	Beauty
Shaving Cream	1243	Consumer Packaged Goods	Shaving	Shaving Cream	Beauty	IAB18-1	Style & Fashion	Beauty
Skin Care	1244	Consumer Packaged Goods	Skin Care		Beauty	IAB18-1	Style & Fashion	Beauty
Hand and Body Lotion	1245	Consumer Packaged Goods	Skin Care	Hand and Body Lotion	Beauty	IAB18-1	Style & Fashion	Beauty
Skin Care	1246	Consumer Packaged Goods	Skin Care	Skin Care	Beauty	IAB18-1	Style & Fashion	Beauty
Suntan Products	1247	Consumer Packaged Goods	Skin Care	Suntan Products	Beauty	IAB18-1	Style & Fashion	Beauty
Toys and Games	1248	Consumer Packaged Goods	Toys and Games		Hobbies & Interests	IAB9	Hobbies & Interests	
Games	1249	Consumer Packaged Goods	Toys and Games	Games	Hobbies & Interests	IAB9	Hobbies & Interests	
Outdoor Play Equipment	1250	Consumer Packaged Goods	Toys and Games	Outdoor Play Equipment	Hobbies & Interests	IAB9	Hobbies & Interests	
Puzzles	1251	Consumer Packaged Goods	Toys and Games	Puzzles	Board Games/Puzzles	IAB9-5	Hobbies & Interests	Board Games/Puzzles
Toys	1252	Consumer Packaged Goods	Toys and Games	Toys	Hobbies & Interests	IAB9	Hobbies & Interests	
Vitamins and Supplements	1253	Consumer Packaged Goods	Vitamins and Supplements		Health & Fitness	IAB7	Health & Fitness	
Digestive Supplements	1254	Consumer Packaged Goods	Vitamins and Supplements	Digestive Supplements	Health & Fitness	IAB7	Health & Fitness	
Weightloss Supplements	1255	Consumer Packaged Goods	Vitamins and Supplements	Weightloss Supplements	Health & Fitness	IAB7	Health & Fitness	
Water Treatment	1256	Consumer Packaged Goods	Water Treatment		Home & Garden	IAB10	Home & Garden	
Water Filter/Devices	1257	Consumer Packaged Goods	Water Treatment	Water Filter/Devices	Home & Garden	IAB10	Home & Garden	
Water Softeners/Treatment	1258	Consumer Packaged Goods	Water Treatment	Water Softeners/Treatment	Home & Garden	IAB10	Home & Garden	
Dating	1259	Dating			Dating	IAB14-1	Society	Dating
Casual Relationships	1260	Dating	Casual Relationships		Dating	IAB14-1	Society	Dating
Serious Relationships	1261	Dating	Serious Relationships		Dating	IAB14-1	Society	Dating
Debated Sensitive Social Issue	1262	Debated Sensitive Social Issue			Law, Gov't & Politics	IAB11	Law, Gov't & Politics	
Dieting and Weightloss	1263	Dieting and Weightloss			Weight Loss	IAB7-44	Health & Fitness	Weight Loss
Food Logging	1264	Dieting and Weightloss	Food Logging		Weight Loss	IAB7-44	Health & Fitness	Weight Loss
Weightloss Servies	1265	Dieting and Weightloss	Weightloss Servies		Weight Loss	IAB7-44	Health & Fitness	Weight Loss
Workout and Step Tracking Applications	1266	Dieting and Weightloss	Workout and Step Tracking Applications		Weight Loss	IAB7-44	Health & Fitness	Weight Loss
Durable Goods	1267	Durable Goods			Home & Garden	IAB10	Home & Garden	
Electronics/Photography	1268	Durable Goods	Electronics/Photography		Technology & Computing	IAB19	Technology & Computing	
Batteries	1269	Durable Goods	Electronics/Photography	Batteries	Technology & Computing	IAB19	Technology & Computing	
Blank Audio/Video Media	1270	Durable Goods	Electronics/Photography	Blank Audio/Video Media	Technology & Computing	IAB19	Technology & Computing	
Photography Supplies	1271	Durable Goods	Electronics/Photography	Photography Supplies	Cameras & Camcorders	IAB19-5	Technology & Computing	Cameras & Camcorders
Furniture	1272	Durable Goods	Furniture		Home & Garden	IAB10	Home & Garden	
Indoor Furniture	1273	Durable Goods	Furniture	Indoor Furniture	Home & Garden	IAB10	Home & Garden	
Outdoor Furniture	1274	Durable Goods	Furniture	Outdoor Furniture	Home & Garden	IAB10	Home & Garden	
Grooming Supplies	1275	Durable Goods	Grooming Supplies		Beauty	IAB18-1	Style & Fashion	Beauty
Electric Shaver Groomer	1276	Durable Goods	Grooming Supplies	Electric Shaver Groomer	Beauty	IAB18-1	Style & Fashion	Beauty
Hair Appliances	1277	Durable Goods	Grooming Supplies	Hair Appliances	Beauty	IAB18-1	Style & Fashion	Beauty
Tools and Hardware	1278	Durable Goods	Tools and Hardware		Home & Garden	IAB10	Home & Garden	
Consumer Hardware Supplies	1279	Durable Goods	Tools and Hardware	Consumer Hardware Supplies	Home & Garden	IAB10	Home & Garden	
Industrial Hardware Supplies	1280	Durable Goods	Tools and Hardware	Industrial Hardware Supplies	Business	IAB3	Business	
Home and Garden Products	1281	Durable Goods	Home and Garden Products		Home & Garden	IAB10	Home & Garden	
Bathroom Accessories	1282	Durable Goods	Home and Garden Products	Bathroom Accessories	Home & Garden	IAB10	Home & Garden	
Bedroom Furniture and Accessories	1283	Durable Goods	Home and Garden Products	Bedroom Furniture and Accessories	Home & Garden	IAB10	Home & Garden	
Carpets and Rugs	1284	Durable Goods	Home and Garden Products	Carpets and Rugs	Home & Garden	IAB10	Home & Garden	
Fireplaces	1285	Durable Goods	Home and Garden Products	Fireplaces	Home & Garden	IAB10	Home & Garden	
Home Decor	1286	Durable Goods	Home and Garden Products	Home Decor	Interior Decorating	IAB10-7	Home & Garden	Interior Decorating
Housewares	1287	Durable Goods	Home and Garden Products	Housewares	Home & Garden	IAB10	Home & Garden	
Kitchen and Dining Products	1288	Durable Goods	Home and Garden Products	Kitchen and Dining Products	Appliances	IAB10-1	Home & Garden	Appliances
Lawn and Garden Products	1289	Durable Goods	Home and Garden Products	Lawn and Garden Products	Gardening	IAB10-4	Home & Garden	Gardening
Lighting	1290	Durable Goods	Home and Garden Products	Lighting	Home & Garden	IAB10	Home & Garden	
Linens and Bedding	1291	Durable Goods	Home and Garden Products	Linens and Bedding	Home & Garden	IAB10	Home & Garden	
Plants	1292	Durable Goods	Home and Garden Products	Plants	Gardening	IAB10-4	Home & Garden	Gardening
Household Appliances	1293	Durable Goods	Household Appliances		Appliances	IAB10-1	Home & Garden	Appliances
Luggage and Bags	1294	Durable Goods	Luggage and Bags		Travel	IAB20	Travel	
Education and Careers	1295	Education and Careers			Education	IAB5	Education	
Adult Education	1296	Education and Careers	Adult Education		Adult Education	IAB5-2	Education	Adult Education
Certificaiton Programs	1297	Education and Careers	Certificaiton Programs		Education	IAB5	Education	
Colleges and Universities	1298	Education and Careers	Colleges and Universities		College Life	IAB5-5	Education	College Life
Post-Graduate Education	1299	Education and Careers	Colleges and Universities	Post-Graduate Education	Graduate School	IAB5-9	Education	Graduate School
Education Applications	1300	Education and Careers	Education Applications		Education	IAB5	Education	
Employment Agencies	1301	Education and Careers	Employment Agencies		Career Planning	IAB4-1	Careers	Career Planning
Higher Education	1302	Education and Careers	Higher Education		Graduate School	IAB5-9	Education	Graduate School
Language Learning	1303	Education and Careers	Language Learning		Language Learning	IAB5-8	Education	Language Learning
Online Education	1304	Education and Careers	Online Education		Education	IAB5	Education	
Primary Education	1305	Education and Careers	Primary Education		Education	IAB5	Education	
Remote work and school	1306	Education and Careers	Remote work and school		Telecommuting	IAB4-9	Careers	Telecommuting
Distance learning	1307	Education and Careers	Remote work and school	Distance learning	Distance Learning	IAB5-6	Education	Distance Learning
Homeschooling	1308	Education and Careers	Remote work and school	Homeschooling	Homeschooling	IAB5-10	Education	Homeschooling
Online Surveys	1309	Education and Careers	Remote work and school	Online Surveys	Education	IAB5	Education	
Multi-Level Marketing	1310	Education and Careers	Remote work and school	Multi-Level Marketing	Careers	IAB4	Careers	
Telecommuting	1311	Education and Careers	Remote work and school	Telecommuting	Telecommuting	IAB4-9	Careers	Telecommuting
Study Skills	1312	Education and Careers	Study Skills		Homework/Study Tips	IAB5-11	Education	Homework/Study Tips
Teaching Resources	1313	Education and Careers	Teaching Resources		Education	IAB5	Education	
Trade Schools	1314	Education and Careers	Trade Schools		Education	IAB5	Education	
Events and Performances	1315	Events and Performances			Arts & Entertainment	IAB1	Arts & Entertainment	
Auctions	1316	Events and Performances	Auctions		Arts & Entertainment	IAB1	Arts & Entertainment	
Cinemas and Movie Events	1317	Events and Performances	Cinemas and Movie Events		Movies	IAB1-5	Arts & Entertainment	Movies
Comedy Events	1318	Events and Performances	Comedy Events		Humor	IAB1-4	Arts & Entertainment	Humor
Concerts	1319	Events and Performances	Concerts		Music	IAB1-6	Arts & Entertainment	Music
Conferences, Lectures and Workshops	1320	Events and Performances	Conferences, Lectures and Workshops		Arts & Entertainment	IAB1	Arts & Entertainment	
Exhibitions	1321	Events and Performances	Exhibitions		Arts & Entertainment	IAB1	Arts & Entertainment	
Fan Conventions	1322	Events and Performances	Fan Conventions		Arts & Entertainment	IAB1	Arts & Entertainment	
Fashion Events	1323	Events and Performances	Fashion Events		Arts & Entertainment	IAB1	Arts & Entertainment	
Nightlife Experiences	1324	Events and Performances	Nightlife Experiences		Arts & Entertainment	IAB1	Arts & Entertainment	
Sporting Events	1325	Events and Performances	Sporting Events		Arts & Entertainment	IAB1	Arts & Entertainment	
Seasonal and Holiday Events	1326	Events and Performances	Seasonal and Holiday Events		Arts & Entertainment	IAB1	Arts & Entertainment	
Theatre and Musicals	1327	Events and Performances	Theatre and Musicals		Music	IAB1-6	Arts & Entertainment	Music
Family and Parenting	1328	Family and Parenting			Family & Parenting	IAB6	Family & Parenting	
Childcare	1329	Family and Parenting	Childcare		Daycare/Pre School	IAB6-3	Family & Parenting	Daycare/Pre School
Day Care Centers	1330	Family and Parenting	Childcare	Day Care Centers	Daycare/Pre School	IAB6-3	Family & Parenting	Daycare/Pre School
Nanny Services	1331	Family and Parenting	Childcare	Nanny Services	Family & Parenting	IAB6	Family & Parenting	
Genealogy and Family Trees	1332	Family and Parenting	Genealogy and Family Trees		Family & Parenting	IAB6	Family & Parenting	
Kids Activities	1333	Family and Parenting	Kids Activities		Family & Parenting	IAB6	Family & Parenting	
Senior Living	1334	Family and Parenting	Senior Living		Eldercare	IAB6-9	Family & Parenting	Eldercare
Finance and Insurance	1335	Finance and Insurance			Personal Finance	IAB13	Personal Finance	
Accountants and Bookkeepers	1336	Finance and Insurance	Accountants and Bookkeepers		Tax Planning	IAB13-12	Personal Finance	Tax Planning
Banking	1337	Finance and Insurance	Banking		Financial Planning	IAB13-4	Personal Finance	Financial Planning
Credit and Debt Repair/Credit Reporting	1338	Finance and Insurance	Credit and Debt Repair/Credit Reporting		Credit/Debt & Loans	IAB13-2	Personal Finance	Credit/Debt & Loans
Credit Cards	1339	Finance and Insurance	Credit Cards		Personal Finance	IAB13	Personal Finance	
Insurance	1340	Finance and Insurance	Insurance		Insurance	IAB13-6	Personal Finance	Insurance
Auto Insurance	1341	Finance and Insurance	Insurance	Auto Insurance	Insurance	IAB13-6	Personal Finance	Insurance
Home Insurance	1342	Finance and Insurance	Insurance	Home Insurance	Insurance	IAB13-6	Personal Finance	Insurance
Life Insurance	1343	Finance and Insurance	Insurance	Life Insurance	Insurance	IAB13-6	Personal Finance	Insurance
Medical Insurance	1344	Finance and Insurance	Insurance	Medical Insurance	Insurance	IAB13-6	Personal Finance	Insurance
Pet Insurance	1345	Finance and Insurance	Insurance	Pet Insurance	Insurance	IAB13-6	Personal Finance	Insurance
Travel Insurance	1346	Finance and Insurance	Insurance	Travel Insurance	Insurance	IAB13-6	Personal Finance	Insurance
Insurance Coverage Apps	1347	Finance and Insurance	Insurance Coverage Apps		Insurance	IAB13-6	Personal Finance	Insurance
Mortgage Lenders and Brokers	1348	Finance and Insurance	Mortgage Lenders and Brokers		Credit/Debt & Loans	IAB13-2	Personal Finance	Credit/Debt & Loans
Payday and Emergency Loans	1349	Finance and Insurance	Payday and Emergency Loans		Credit/Debt & Loans	IAB13-2	Personal Finance	Credit/Debt & Loans
Retirement Planning	1350	Finance and Insurance	Retirement Planning		Retirement Planning	IAB13-10	Personal Finance	Retirement Planning
Stocks and Investments	1351	Finance and Insurance	Stocks and Investments		Investing	IAB13-7	Personal Finance	Investing
Financial Investment and Management Applications	1352	Finance and Insurance	Financial Investment and Management Applications		Investing	IAB13-7	Personal Finance	Investing
Student Financial Aid	1353	Finance and Insurance	Student Financial Aid		Financial Aid	IAB4-3	Careers	Financial Aid
Tax Preparation Services	1354	Finance and Insurance	Tax Preparation Services		Tax Planning	IAB13-12	Personal Finance	Tax Planning
Food and Beverage Services	1355	Food and Beverage Services			Food & Drink	IAB8	Food & Drink	
Bakeries	1356	Food and Beverage Services	Bakeries		Desserts & Baking	IAB8-8	Food & Drink	Desserts & Baking
Catering	1357	Food and Beverage Services	Catering		Food & Drink	IAB8	Food & Drink	
Fast Food	1358	Food and Beverage Services	Fast Food		Food & Drink	IAB8	Food & Drink	
Food Delivery Services	1359	Food and Beverage Services	Food Delivery Services		Food & Drink	IAB8	Food & Drink	
Restaurants	1360	Food and Beverage Services	Restaurants		Dining Out	IAB8-9	Food & Drink	Dining Out
Gambling	1361	Gambling			Non-Standard Content	IAB25	Non-Standard Content	
Casinos	1362	Gambling	Casinos		Non-Standard Content	IAB25	Non-Standard Content	
Virtual Betting	1363	Gambling	Virtual Betting		Non-Standard Content	IAB25	Non-Standard Content	
Contests	1364	Gambling	Contests		Non-Standard Content	IAB25	Non-Standard Content	
Give Aways	1365	Gambling	Give Aways		Non-Standard Content	IAB25	Non-Standard Content	
Lottery	1366	Gambling	Lottery		Non-Standard Content	IAB25	Non-Standard Content	
Sports Betting	1367	Gambling	Sports Betting		Non-Standard Content	IAB25	Non-Standard Content	
Green/Eco	1368	Green/Eco			Environmental Safety	IAB10-3	Home & Garden	Environmental Safety
Green/Eco Products	1369	Green/Eco	Green/Eco Products		Environmental Safety	IAB10-3	Home & Garden	Environmental Safety
Green/Eco Services	1370	Green/Eco	Green/Eco Services		Environmental Safety	IAB10-3	Home & Garden	Environmental Safety
Gifts and Holiday Items	1371	Gifts and Holiday Items			Shopping	IAB22	Shopping	
Flowers	1372	Gifts and Holiday Items	Flowers		Home & Garden	IAB10	Home & Garden	
Gift Baskets	1373	Gifts and Holiday Items	Gift Baskets		Shopping	IAB22	Shopping	
Gift Cards and Coupons	1374	Gifts and Holiday Items	Gift Cards and Coupons		Couponing	IAB22-2	Shopping	Couponing
Gift Certificates	1375	Gifts and Holiday Items	Gift Certificates		Couponing	IAB22-2	Shopping	Couponing
Greeting Cards	1376	Gifts and Holiday Items	Greeting Cards		Shopping	IAB22	Shopping	
Party Goods	1377	Gifts and Holiday Items	Party Goods		Shopping	IAB22	Shopping	
Health and Medical Services	1378	Health and Medical Services			Health & Fitness	IAB7	Health & Fitness	
Alternative and Natural Medicine	1379	Health and Medical Services	Alternative and Natural Medicine		Alternative Medicine	IAB7-5	Health & Fitness	Alternative Medicine
Assisted Living	1380	Health and Medical Services	Assisted Living		Eldercare	IAB6-9	Family & Parenting	Eldercare
Chiropractors	1381	Health and Medical Services	Chiropractors		Health & Fitness	IAB7	Health & Fitness	
Clinical Research	1382	Health and Medical Services	Clinical Research		Health & Fitness	IAB7	Health & Fitness	
Cosmetic Medical Services	1383	Health and Medical Services	Cosmetic Medical Services		Health & Fitness	IAB7	Health & Fitness	
Dental Care	1384	Health and Medical Services	Dental Care		Dental Care	IAB7-17	Health & Fitness	Dental Care
Dermatology	1385	Health and Medical Services	Dermatology		Dermatology	IAB7-19	Health & Fitness	Dermatology
Drugstores and Pharmacies	1386	Health and Medical Services	Drugstores and Pharmacies		Health & Fitness	IAB7	Health & Fitness	
Fertility and Family Planning	1387	Health and Medical Services	Fertility and Family Planning		Infertility	IAB7-30	Health & Fitness	Infertility
General Practitioners	1388	Health and Medical Services	General Practitioners		Health & Fitness	IAB7	Health & Fitness	
Home Healthcare	1389	Health and Medical Services	Home Healthcare		Health & Fitness	IAB7	Health & Fitness	
Hospitals	1390	Health and Medical Services	Hospitals		Health & Fitness	IAB7	Health & Fitness	
Mental Health	1391	Health and Medical Services	Mental Health		Health & Fitness	IAB7	Health & Fitness	
Physical Therapists	1392	Health and Medical Services	Physical Therapists		Physical Therapy	IAB7-36	Health & Fitness	Physical Therapy
Service Provider Search and Scheduling	1393	Health and Medical Services	Service Provider Search and Scheduling		Health & Fitness	IAB7	Health & Fitness	
Symptom Monitoring Apps	1394	Health and Medical Services	Symptom Monitoring Apps		Health & Fitness	IAB7	Health & Fitness	
Vision Care	1395	Health and Medical Services	Vision Care		Health & Fitness	IAB7	Health & Fitness	
Home and Garden Services	1396	Home and Garden Services			Home & Garden	IAB10	Home & Garden	
Appliance Repair	1397	Home and Garden Services	Appliance Repair		Appliances	IAB10-1	Home & Garden	Appliances
Business and Home Security Services	1398	Home and Garden Services	Business and Home Security Services		Home & Garden	IAB10	Home & Garden	
Carpeting and Flooring Services	1399	Home and Garden Services	Carpeting and Flooring Services		Remodeling & Construction	IAB10-9	Home & Garden	Remodeling & Construction
Do It Yourself Applications	1400	Home and Garden Services	Do It Yourself Applications		Home Repair	IAB10-5	Home & Garden	Home Repair
Emergency Preparedness	1401	Home and Garden Services	Emergency Preparedness		Home & Garden	IAB10	Home & Garden	
Flood, Fire and Gas Safety	1402	Home and Garden Services	Flood, Fire and Gas Safety		Home & Garden	IAB10	Home & Garden	
Gas and Electric Services	1403	Home and Garden Services	Gas and Electric Services		Home & Garden	IAB10	Home & Garden	
Home Improvement and Repair	1404	Home and Garden Services	Home Improvement and Repair		Home Repair	IAB10-5	Home & Garden	Home Repair
Home Security and Monitoring Applications	1405	Home and Garden Services	Home Security and Monitoring Applications		Home & Garden	IAB10	Home & Garden	
Home Service Provider Review	1406	Home and Garden Services	Home Service Provider Review		Home & Garden	IAB10	Home & Garden	
Housekeeping Services	1407	Home and Garden Services	Housekeeping Services		Home & Garden	IAB10	Home & Garden	
Landscaping Services	1408	Home and Garden Services	Landscaping Services		Landscaping	IAB10-8	Home & Garden	Landscaping
Lawn and Garden Services	1409	Home and Garden Services	Lawn and Garden Services		Gardening	IAB10-4	Home & Garden	Gardening
Pest Exterminators	1410	Home and Garden Services	Pest Exterminators		Gardening	IAB10-4	Home & Garden	Gardening
Plumbers	1411	Home and Garden Services	Plumbers		Home Repair	IAB10-5	Home & Garden	Home Repair
Pool and Spa Installation and Maintenance	1412	Home and Garden Services	Pool and Spa Installation and Maintenance		Landscaping	IAB10-8	Home & Garden	Landscaping
Remodeling and Construction	1413	Home and Garden Services	Remodeling and Construction		Remodeling & Construction	IAB10-9	Home & Garden	Remodeling & Construction
Water Services	1414	Home and Garden Services	Water Services		Home & Garden	IAB10	Home & Garden	
Window Installation and Treatments	1415	Home and Garden Services	Window Installation and Treatments		Remodeling & Construction	IAB10-9	Home & Garden	Remodeling & Construction
Legal Services	1416	Legal Services			Law, Gov't & Politics	IAB11	Law, Gov't & Politics	
Lawyers	1417	Legal Services	Lawyers		Law, Gov't & Politics	IAB11	Law, Gov't & Politics	
Bail Bonds	1418	Legal Services	Bail Bonds		Law, Gov't & Politics	IAB11	Law, Gov't & Politics	
Media	1419	Media			Arts & Entertainment	IAB1	Arts & Entertainment	
Blogs/Forums/Social Networks	1420	Media	Blogs/Forums/Social Networks		Celebrity Fan/Gossip	IAB1-2	Arts & Entertainment	Celebrity Fan/Gossip
Book Reading and Review Applications	1421	Media	Book Reading and Review Applications		Books & Literature	IAB1-1	Arts & Entertainment	Books & Literature
Books and Audio Books	1422	Media	Books and Audio Books		Books & Literature	IAB1-1	Arts & Entertainment	Books & Literature
Casual Games	1423	Media	Casual Games		Video & Computer Games	IAB9-30	Hobbies & Interests	Video & Computer Games
Casual Games Apps	1424	Media	Casual Games	Casual Games Apps	Video & Computer Games	IAB9-30	Hobbies & Interests	Video & Computer Games
Core Gaming	1425	Media	Core Gaming		Video & Computer Games	IAB9-30	Hobbies & Interests	Video & Computer Games
Core Gaming Apps	1426	Media	Core Gaming	Core Gaming Apps	Video & Computer Games	IAB9-30	Hobbies & Interests	Video & Computer Games
CDs and Vinyl Records	1427	Media	CDs and Vinyl Records		Music	IAB1-6	Arts & Entertainment	Music
DVDs	1428	Media	DVDs		Movies	IAB1-5	Arts & Entertainment	Movies
Live Television	1429	Media	Live Television		Television	IAB1-7	Arts & Entertainment	Television
Magazines and Newspapers	1430	Media	Magazines and Newspapers		News	IAB12	News	
Music and Video Streaming Services	1431	Media	Music and Video Streaming Services		Music	IAB1-6	Arts & Entertainment	Music
News and Analysis	1432	Media	News and Analysis		News	IAB12	News	
Radio and Podcasts	1433	Media	Radio and Podcasts		Radio	IAB9-24	Hobbies & Interests	Radio
Sports	1434	Media	Sports		Sports	IAB17	Sports	
Fantasy Sports	1435	Media	Sports	Fantasy Sports	Sports	IAB17	Sports	
Sports Highlights	1436	Media	Sports	Sports Highlights	Sports	IAB17	Sports	
Team News and Analysis	1437	Media	Sports	Team News and Analysis	Sports	IAB17	Sports	
Utilities Apps	1438	Media	Utilities Apps		Technology & Computing	IAB19	Technology & Computing	
Productivity Apps	1439	Media	Utilities Apps	Productivity Apps	Technology & Computing	IAB19	Technology & Computing	
Reference Apps	1440	Media	Utilities Apps	Reference Apps	Technology & Computing	IAB19	Technology & Computing	
Search Engine Apps	1441	Media	Utilities Apps	Search Engine Apps	Web Search	IAB19-35	Technology & Computing	Web Search
Weather Apps	1442	Media	Utilities Apps	Weather Apps	Weather	IAB15	Science	Weather
Metals	1443	Metals			Stamps & Coins	IAB9-29	Hobbies & Interests	Stamps & Coins
Coin Trade In	1444	Metals	Coin Trade In		Stamps & Coins	IAB9-29	Hobbies & Interests	Stamps & Coins
Gold Trade In	1445	Metals	Gold Trade In		Stamps & Coins	IAB9-29	Hobbies & Interests	Stamps & Coins
Platinum Trade In	1446	Metals	Platinum Trade In		Stamps & Coins	IAB9-29	Hobbies & Interests	Stamps & Coins
Silver Trade In	1447	Metals	Silver Trade In		Stamps & Coins	IAB9-29	Hobbies & Interests	Stamps & Coins
Non-Fiat Currency	1448	Non-Fiat Currency			Non-Standard Content	IAB25	Non-Standard Content	
Cryptocurrency Exchanges	1449	Non-Fiat Currency	Cryptocurrency Exchanges		Non-Standard Content	IAB25	Non-Standard Content	
Cryptocurrency Stock	1450	Non-Fiat Currency	Cryptocurrency Stock		Non-Standard Content	IAB25	Non-Standard Content	
NFTs	1451	Non-Fiat Currency	NFTs		Non-Standard Content	IAB25	Non-Standard Content	
Non-Profits	1452	Non-Profits			Business	IAB3	Business	
Charities and Donations	1453	Non-Profits	Charities and Donations		Business	IAB3	Business	
Civic Organizations	1454	Non-Profits	Civic Organizations		Business	IAB3	Business	
Federations and Professional Associations	1455	Non-Profits	Federations and Professional Associations		Business	IAB3	Business	
Military Organizations	1456	Non-Profits	Military Organizations		U.S. Military	IAB4-10	Careers	U.S. Military
Non-Governmental Organizations	1457	Non-Profits	Non-Governmental Organizations		Business	IAB3	Business	
Public Service Announcements	1458	Non-Profits	Public Service Announcements		Commentary	IAB11-5	Law, Gov't & Politics	Commentary
Scholarships	1459	Non-Profits	Scholarships		Scholarships	IAB4-8	Careers	Scholarships
Pet Ownership	1460	Pet Ownership			Pets	IAB16	Pets	
Pet Adoption	1461	Pet Ownership	Pet Adoption		Pets	IAB16	Pets	
Pet Breeders	1462	Pet Ownership	Pet Breeders		Pets	IAB16	Pets	
Pet Care and Supply Applications	1463	Pet Ownership	Pet Care and Supply Applications		Pets	IAB16	Pets	
Pet Grooming	1464	Pet Ownership	Pet Grooming		Pets	IAB16	Pets	
Pet Sitting	1465	Pet Ownership	Pet Sitting		Pets	IAB16	Pets	
Veterinary Services	1466	Pet Ownership	Veterinary Services		Veterinary Medicine	IAB16-7	Pets	Veterinary Medicine
Personal/Consumer Telcom	1467	Personal/Consumer Telecom			Technology & Computing	IAB19	Technology & Computing	
Home Internet Services	1468	Personal/Consumer Telecom	Home Internet Services		Internet Technology	IAB19-18	Technology & Computing	Internet Technology
Home Phone Services	1469	Personal/Consumer Telecom	Home Phone Services		Technology & Computing	IAB19	Technology & Computing	
Home Television Services	1470	Personal/Consumer Telecom	Home Television Services		Television	IAB1-7	Arts & Entertainment	Television
Mobile Phone Plans	1471	Personal/Consumer Telecom	Mobile Phone Plans		Cell Phones	IAB19-6	Technology & Computing	Cell Phones
Prepaid International Phone Services	1472	Personal/Consumer Telecom	Prepaid International Phone Services		Technology & Computing	IAB19	Technology & Computing	
Pharmaceuticals	1473	Pharmaceuticals			Health & Fitness	IAB7	Health & Fitness	
Politics	1474	Politics			Politics	IAB11-4	Law, Gov't & Politics	Politics
Ballot measures	1475	Politics	Ballot measures		Law, Gov't & Politics	IAB11	Law, Gov't & Politics	
Elections	1476	Politics	Elections		Law, Gov't & Politics	IAB11	Law, Gov't & Politics	
Political Action Committees	1477	Politics	Political Action Committees		Law, Gov't & Politics	IAB11	Law, Gov't & Politics	
Political Analysis and Opinion	1478	Politics	Political Analysis and Opinion		Commentary	IAB11-5	Law, Gov't & Politics	Commentary
Political Candidates	1479	Politics	Political Candidates		Law, Gov't & Politics	IAB11	Law, Gov't & Politics	
Political Donations	1480	Politics	Political Donations		Law, Gov't & Politics	IAB11	Law, Gov't & Politics	
Promoting Causes	1481	Politics	Promoting Causes; eg: Healthcare reform, energy trades (Oil/Solar), etc...		Law, Gov't & Politics	IAB11	Law, Gov't & Politics	
Real Estate	1482	Real Estate			Real Estate	IAB21	Real Estate	
Commercial Real Estate	1483	Real Estate	Commercial Real Estate		Real Estate	IAB21	Real Estate	
Real Estate Rentals	1484	Real Estate	Real Estate Rentals		Real Estate	IAB21	Real Estate	
Real Estate Sales	1485	Real Estate	Real Estate Sales		Buying/Selling Homes	IAB21-3	Real Estate	Buying/Selling Homes
Real Estate Services For Owners	1486	Real Estate	Real Estate Services For Owners		Buying/Selling Homes	IAB21-3	Real Estate	Buying/Selling Homes
Religion and Spirituality	1487	Religion and Spirituality			Religion & Spirituality	IAB23	Religion & Spirituality	
Astrology	1488	Religion and Spirituality	Astrology		Astrology	IAB15-1	Science	Astrology
Prayer and Mindfullness Applications	1489	Religion and Spirituality	Prayer and Mindfullness Applications		Religion & Spirituality	IAB23	Religion & Spirituality	
Prayer and worship services	1490	Religion and Spirituality	Prayer and Worship Services		Religion & Spirituality	IAB23	Religion & Spirituality	
Religious causes	1491	Religion and Spirituality	Religious Causes		Religion & Spirituality	IAB23	Religion & Spirituality	
Religious charities	1492	Religion and Spirituality	Religious Charities		Religion & Spirituality	IAB23	Religion & Spirituality	
Religious organizaitions	1493	Religion and Spirituality	Religious Organizaitions		Religion & Spirituality	IAB23	Religion & Spirituality	
Retail	1494	Retail			Shopping	IAB22	Shopping	
Arts and Crafts Supplies	1495	Retail	Arts and Crafts Supplies		Arts & Crafts	IAB9-2	Hobbies & Interests	Arts & Crafts
Cell Phone Stores	1496	Retail	Cell Phone Stores		Cell Phones	IAB19-6	Technology & Computing	Cell Phones
Clothing Stores	1497	Retail	Clothing Stores		Clothing	IAB18-5	Style & Fashion	Clothing
Department Stores	1498	Retail	Department Stores		Shopping	IAB22	Shopping	
eCommerce	1499	Retail	eCommerce		Engines	IAB22-4	Shopping	Engines
Factory Outlet Stores	1500	Retail	Factory Outlet Stores		Clothing	IAB18-5	Style & Fashion	Clothing
Grocery Stores and Supermarkets	1501	Retail	Grocery Stores and Supermarkets		Food & Drink	IAB8	Food & Drink	
Hardware Stores	1502	Retail	Hardware Stores		Home & Garden	IAB10	Home & Garden	
Musical Instruments and Record Stores	1503	Retail	Musical Instruments and Record Stores		Music	IAB1-6	Arts & Entertainment	Music
Pawn Shops	1504	Retail	Pawn Shops		Hobbies & Interests	IAB9	Hobbies & Interests	
